
変数情報		
変数	位置	ラベル
ID	1	ID
SQ2	2	SQ2．あなたの年齢をお答えください。
SQ3	3	SQ3．あなたの性別をお答えください。
SQ4	4	SQ4．現在の場所に、合計何年くらいお住まいですか。
SQ5	5	SQ5．全体として、お住まいの地域は住みやすいと思いますか。
SQ6	6	SQ6．お住まいの地域はどのくらい「都会的」だと思いますか。0（ゼロ）を最も田舎・農村的、100を最も都会・都市的なものとし、あなたの印象をお答えください。
SQ7	7	SQ7．お住まいの都道府県を選択してください。
group	8	グループ確認用SA
Q1_1	9	Q1_1．お住まいの地域の以下の点について、どの程度満足していますか。【買物・交通の利便性】
Q1_2	10	Q1_2．お住まいの地域の以下の点について、どの程度満足していますか。【防犯・防災面での安全性】
Q1_3	11	Q1_3．お住まいの地域の以下の点について、どの程度満足していますか。【住民間の人間関係】
Q1_4	12	Q1_4．お住まいの地域の以下の点について、どの程度満足していますか。【娯楽・文化の豊かさ】
Q1_5	13	Q1_5．お住まいの地域の以下の点について、どの程度満足していますか。【自然・気候の良さ】
Q2_1	14	Q2_1．お住まいの地域について、あなたご自身のお考えを教えてください。【この地域に愛着がある】
Q2_2	15	Q2_2．お住まいの地域について、あなたご自身のお考えを教えてください。【この地域を自分の手で良くしたい】
Q2_3	16	Q2_3．お住まいの地域について、あなたご自身のお考えを教えてください。【この地域の文化や景色を残したい】
Q2_4	17	Q2_4．お住まいの地域について、あなたご自身のお考えを教えてください。【自分の人生はこの地域に強く結び付いている】
Q2_5	18	Q2_5．お住まいの地域について、あなたご自身のお考えを教えてください。【一般的に、この地域は評判が良い】
Q3	19	Q3．それでは、地域住民の何％くらいの人が「この地域に愛着がある」（強くそう思う・ややそう思う）と答えると思いますか。
Q4_1	20	Q4_1．ご近所の方との関係について、どう思いますか。【近所の人は一般的に信頼できる】
Q4_2	21	Q4_2．ご近所の方との関係について、どう思いますか。【近所の人と互いに助け合っている】
Q4_3	22	Q4_3．ご近所の方との関係について、どう思いますか。【近所の人の勤め先や家族構成を知っている】
Q4_4	23	Q4_4．ご近所の方との関係について、どう思いますか。【自分はこの地域の一員だと感じる】
Q5_1	24	Q5_1．あなたが生活している地域に移住者が増えると、どのような影響があると思いますか。【地域経済が活性化する】
Q5_2	25	Q5_2．あなたが生活している地域に移住者が増えると、どのような影響があると思いますか。【地域社会の文化を豊かにする】
Q5_3	26	Q5_3．あなたが生活している地域に移住者が増えると、どのような影響があると思いますか。【地域の人間関係が希薄になる】
Q5_4	27	Q5_4．あなたが生活している地域に移住者が増えると、どのような影響があると思いますか。【地域の治安・風紀が乱れる】
Q6_1	28	Q6_1．お住まいの地域（近所）に以下のものはありますか。【食料品店など普段の買物をする商店】
Q6_2	29	Q6_2．お住まいの地域（近所）に以下のものはありますか。【郵便局や医療機関など生活に必要な施設】
Q6_3	30	Q6_3．お住まいの地域（近所）に以下のものはありますか。【散歩や運動ができる公園・緑地や広場】
Q6_4	31	Q6_4．お住まいの地域（近所）に以下のものはありますか。【バス停や駅など公共交通機関の乗り場】
Q6_5	32	Q6_5．お住まいの地域（近所）に以下のものはありますか。【散歩やジョギングに適した道】
Q6_6	33	Q6_6．お住まいの地域（近所）に以下のものはありますか。【交通事故が心配な道や交差点】
Q6_7	34	Q6_7．お住まいの地域（近所）に以下のものはありますか。【防犯面で心配な道や場所】
Q6_8	35	Q6_8．お住まいの地域（近所）に以下のものはありますか。【落書きやゴミの放置が目立つ場所】
Q6_9	36	Q6_9．お住まいの地域（近所）に以下のものはありますか。【老朽化した空き家など荒廃した建物】
Q6_10	37	Q6_10．お住まいの地域（近所）に以下のものはありますか。【魅力的に見える建物や景観】
Q7_1	38	Q7．お住まいの地域では、過去5年の間に次のようなことがありましたか。（あてはまるもの全て） <1> 空き家の増加
